"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-06;11;1;6;85.0312783090172
"ind";MLN8237;Alisertib (MLN8237);1e-06;3e-07;11;1;17;88.2835790503263
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-07;12;1;6;84.7752886471665
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-08;12;1;17;87.5621536396562
"ind";MLN8237;SB525334;0;1e-05;1;1;7;82.4946534779515
"ind";MLN8237;SB525334;0;3e-06;1;1;18;90.5026124292563
"ind";MLN8237;SB525334;0;1e-06;2;1;7;104.423248104975
"ind";MLN8237;SB525334;0;3e-07;2;1;18;104.273213522414
"ind";MLN8237;SB525334;0;1e-07;3;1;7;98.8919549088584
"ind";MLN8237;SB525334;0;1e-08;3;1;18;99.2640297221793
"ind";MLN8237;SB525334;1e-08;1e-05;4;1;7;82.0691904463837
"ind";MLN8237;SB525334;1e-08;3e-06;4;1;18;87.5230022796085
"ind";MLN8237;SB525334;1e-08;1e-06;5;1;7;94.5072763692452
"ind";MLN8237;SB525334;1e-08;3e-07;5;1;18;99.5027708827502
"ind";MLN8237;SB525334;1e-08;1e-07;6;1;7;89.9711943183984
"ind";MLN8237;SB525334;1e-08;1e-08;6;1;18;95.9966707654673
"ind";MLN8237;SB525334;1e-07;1e-05;7;1;7;53.8270967794926
"ind";MLN8237;SB525334;1e-07;3e-06;7;1;18;82.7153247800388
"ind";MLN8237;SB525334;1e-07;1e-06;8;1;7;91.4315674267529
"ind";MLN8237;SB525334;1e-07;3e-07;8;1;18;93.5621680134073
"ind";MLN8237;SB525334;1e-07;1e-07;9;1;7;94.9083724704337
"ind";MLN8237;SB525334;1e-07;1e-08;9;1;18;93.7696976002338
"ind";MLN8237;SB525334;1e-06;1e-05;10;1;7;69.6809335272193
"ind";MLN8237;SB525334;1e-06;3e-06;10;1;18;86.2107472536724
"ind";MLN8237;SB525334;1e-06;1e-06;11;1;7;90.0659241825699
"ind";MLN8237;SB525334;1e-06;3e-07;11;1;18;87.9941875288545
"ind";MLN8237;SB525334;1e-06;1e-07;12;1;7;93.1717495558682
"ind";MLN8237;SB525334;1e-06;1e-08;12;1;18;92.6332130159107
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-05;1;1;8;8.05258602604455
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;3e-06;1;1;19;53.5784993324762
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-06;2;1;8;62.60603635943
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;3e-07;2;1;19;66.7120010212208
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-07;3;1;8;67.0649108331197
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-08;3;1;19;96.3928387234329
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-05;4;1;8;8.09748688651889
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;3e-06;4;1;19;51.3671319541149
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-06;5;1;8;62.746214655545
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;3e-07;5;1;19;67.3014617078138
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-07;6;1;8;65.9084398901709
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-08;6;1;19;88.9776258875363
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-05;7;1;8;7.1061087415336
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;3e-06;7;1;19;48.3155161562673
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-06;8;1;8;60.8064427259066
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;3e-07;8;1;19;67.0813379771957
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-07;9;1;8;75.0558950688794
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-08;9;1;19;86.4864494884142
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-05;10;1;8;8.165111962965
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;3e-06;10;1;19;54.944963933863
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-06;11;1;8;63.1207535404773
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;3e-07;11;1;19;63.7646975882557
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-07;12;1;8;65.1722300498324
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-08;12;1;19;89.4597625661663
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-05;1;1;9;25.128602293024
"ind";MLN8237;CX-4945 (Silmitasertib);0;3e-06;1;1;20;56.240791815723
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-06;2;1;9;89.3157512697669
"ind";MLN8237;CX-4945 (Silmitasertib);0;3e-07;2;1;20;106.007646151103
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-07;3;1;9;95.5027613002495
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-08;3;1;20;105.306480884793
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;1e-05;4;1;9;26.6637189069241
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;3e-06;4;1;20;53.8876034268391
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;1e-06;5;1;9;80.156249518736
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;3e-07;5;1;20;98.6606059631217
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;1e-07;6;1;9;92.6860536626885
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;1e-08;6;1;20;88.9992549605697
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;1e-05;7;1;9;24.6434539713134
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;3e-06;7;1;20;52.8633709937019
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;1e-06;8;1;9;80.470829327791
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;3e-07;8;1;20;88.1466861830264
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;1e-07;9;1;9;94.3090554973951
"ind";MLN8237;CX-4945 (Silmitasertib);1e-07;1e-08;9;1;20;86.2282695406868
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;1e-05;10;1;9;31.5527107696699
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;3e-06;10;1;20;54.1920531637139
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;1e-06;11;1;9;71.7795011829255
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;3e-07;11;1;20;92.3712000678989
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;1e-07;12;1;9;83.812110432845
"ind";MLN8237;CX-4945 (Silmitasertib);1e-06;1e-08;12;1;20;91.2875561303535
"ind";MLN8237;MK-8776 (SCH 900776);0;1e-05;1;1;10;76.6405669007421
"ind";MLN8237;MK-8776 (SCH 900776);0;3e-06;1;1;21;80.1948533073146
"ind";MLN8237;MK-8776 (SCH 900776);0;1e-06;2;1;10;98.7320640398522
"ind";MLN8237;MK-8776 (SCH 900776);0;3e-07;2;1;21;102.76520169624
"ind";MLN8237;MK-8776 (SCH 900776);0;1e-07;3;1;10;96.8990685467077
"ind";MLN8237;MK-8776 (SCH 900776);0;1e-08;3;1;21;102.16342065159
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;1e-05;4;1;10;77.8342727035965
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;3e-06;4;1;21;76.0924478600736
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;1e-06;5;1;10;81.373500894766
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;3e-07;5;1;21;91.2196572681728
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;1e-07;6;1;10;84.7158771427584
"ind";MLN8237;MK-8776 (SCH 900776);1e-08;1e-08;6;1;21;91.3480627777
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;1e-05;7;1;10;71.9391182661971
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;3e-06;7;1;21;79.4934142552703
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;1e-06;8;1;10;88.2655091918427
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;3e-07;8;1;21;90.0834464695843
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;1e-07;9;1;10;92.7958417422629
"ind";MLN8237;MK-8776 (SCH 900776);1e-07;1e-08;9;1;21;89.1731089020405
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;1e-05;10;1;10;75.5686957497845
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;3e-06;10;1;21;76.1190050763298
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;1e-06;11;1;10;87.2467524733974
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;3e-07;11;1;21;87.5303944944427
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;1e-07;12;1;10;89.0548334646934
"ind";MLN8237;MK-8776 (SCH 900776);1e-06;1e-08;12;1;21;89.4603101376355
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;1e-05;1;1;11;93.5534068699001
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;3e-06;1;1;22;108.477467262926
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;1e-06;2;1;11;115.18001583166
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;3e-07;2;1;22;109.560563629003
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;1e-07;3;1;11;94.249643992987
"ind";MLN8237;CHIR-99021 (CT99021) HCl;0;1e-08;3;1;22;103.040082573778
"ind";MLN8237;CHIR-99021 (CT99021) HCl;1e-08;1e-05;4;1;11;98.0495162034954
"ind";MLN8237;CHIR-99021 (CT99021) HCl;1e-08;3e-06;4;1;22;105.179718089674
"ind";MLN8237;CHIR-99021 (CT99021) HCl;1e-08;1e-06;5;1;11;97.4644360886559
"ind";MLN8237;CHIR-99021 (CT99021) HCl;1e-08;3e-07;5;1;22;102.142339150025
