"Drug","Gene Name","Dose (uM)","Value"
"Abemaciclib","MAPK8",0.01,0.08048650477800592
"Abemaciclib","MAPK8",30,-2.53381294969447
"Abemaciclib","MAPK8",3,-1.5503714108436117
"Abemaciclib","MAPK8",0.3,-0.43112394914350755
"Abemaciclib","MAPK8",0.03,-0.3270949851652371
"Abemaciclib","MAPK8",0.003,-0.2585253717868607
"Abemaciclib","PIGT",1,-13.019319095130292
"Abemaciclib","PIGT",0.1,-0.2038057094137721
"Abemaciclib","PIGT",0.01,0.3702534640137016
"Abemaciclib","PIGT",30,-13.019319095130292
"Abemaciclib","PIGT",3,-13.019319095130292
"Abemaciclib","PIGT",0.3,-0.5842164881437989
"Abemaciclib","PIGT",0.03,0.41594665069806175
"Abemaciclib","PIGT",0.003,0.7279456798427493
"Abemaciclib","PIM1",1,-1.4505441560908163
"Abemaciclib","PIM1",0.1,-1.4924737972130115
"Abemaciclib","PIM1",0.01,-0.368193995346706
"Abemaciclib","PIM1",30,-2.5607804878780014
"Abemaciclib","PIM1",3,-1.8320905903003115
"Abemaciclib","PIM1",0.3,-1.334393137360334
"Abemaciclib","PIM1",0.03,-1.0239422533904838
"Abemaciclib","PIM1",0.003,-0.1873740702654382
"Abemaciclib","PRKCA",1,-0.7655849292257588
"Abemaciclib","PRKCA",0.1,-0.26256240063044683
"Abemaciclib","PRKCA",0.01,0.2591944046403894
"Abemaciclib","PRKCA",30,-2.5636172757367404
"Abemaciclib","PRKCA",3,-1.6918276664840575
"Abemaciclib","PRKCA",0.3,-0.028606696248176935
"Abemaciclib","PRKCA",0.03,0.19490382161812725
"Abemaciclib","PRKCA",0.003,0.532416375330519
"Abemaciclib","PRKCB",1,-0.25754292625709524
"Abemaciclib","PRKCB",0.1,0.5132470345772638
"Abemaciclib","PRKCB",0.01,-0.14264159343225005
"Abemaciclib","PRKCB",30,-2.1747622903373625
"Abemaciclib","PRKCB",3,-0.7816574054145057
"Abemaciclib","PRKCB",0.3,-0.10877634591733111
"Abemaciclib","PRKCB",0.03,0.3073740254855576
"Abemaciclib","PRKCB",0.003,0.23677475355788785
"Abemaciclib","PRKCD",1,-0.44446415020625374
"Abemaciclib","PRKCD",0.1,0.5301920000826224
"Abemaciclib","PRKCD",0.01,0.2210271152959304
"Abemaciclib","PRKCD",30,-1.4318591987698388
"Abemaciclib","PRKCD",3,-0.8033732404845431
"Abemaciclib","PRKCD",0.3,0.2918117516087298
"Abemaciclib","PRKCD",0.03,0.35623855458257947
"Abemaciclib","PRKCD",0.003,0.37749530093411376
"Abemaciclib","PRKD2",1,-0.5108414064934831
"Abemaciclib","PRKD2",0.1,-0.1349019821666067
"Abemaciclib","PRKD2",0.01,-0.18963213906614804
"Abemaciclib","PRKD2",30,-3.3044406681585206
"Abemaciclib","PRKD2",3,-0.9987806757047129
"Abemaciclib","PRKD2",0.3,-0.11025739096130549
"Abemaciclib","PRKD2",0.03,-0.18442457113742744
"Abemaciclib","PRKD2",0.003,0.02038149999801678
"Abemaciclib","PRKD3",1,-0.654713741333438
"Abemaciclib","PRKD3",0.1,-0.5321093899418868
"Abemaciclib","PRKD3",0.01,-0.40400859902198916
"Abemaciclib","PRKD3",30,-13.019319095130292
"Abemaciclib","PRKD3",3,-1.6272071362581613
"Abemaciclib","PRKD3",0.3,-0.31443400073287464
"Abemaciclib","PRKD3",0.03,-0.6024431594021491
"Abemaciclib","PRKD3",0.003,-0.5096902921318082
"Abemaciclib","Q6ZSR9",1,-2.5943228934790605
"Abemaciclib","Q6ZSR9",0.1,-0.8122218436052606
"Abemaciclib","Q6ZSR9",0.01,-0.7180704059139524
"Abemaciclib","Q6ZSR9",30,-13.019319095130292
"Abemaciclib","Q6ZSR9",3,-13.019319095130292
"Abemaciclib","Q6ZSR9",0.3,-1.5996213062517
"Abemaciclib","Q6ZSR9",0.03,-0.7662961750337124
"Abemaciclib","Q6ZSR9",0.003,-0.4931235965606563
"Abemaciclib","STK10",1,-0.1826952915499191
"Abemaciclib","STK10",0.1,0.5527548665096236
"Abemaciclib","STK10",0.01,0.04836772175879932
"Abemaciclib","STK10",30,-2.1737324400495446
"Abemaciclib","STK10",3,-0.6068558913750922
"Abemaciclib","STK10",0.3,0.1668707108685865
"Abemaciclib","STK10",0.03,0.10839923515641275
"Abemaciclib","STK10",0.003,0.060313016607180345
"Abemaciclib","STK16",1,-0.7956739378924288
"Abemaciclib","STK16",0.1,-1.388293875059945
"Abemaciclib","STK16",0.01,0.12453149193983273
"Abemaciclib","STK16",30,-13.019319095130292
